Season,Bases,0 Outs,1 Out,2 Outs,Era
1939,-- -- --,0.544,0.287,0.107,Live-Ball Era
1939,1B -- --,0.957,0.559,0.23,Live-Ball Era
1939,-- 2B --,1.124,0.785,0.349,Live-Ball Era
1939,-- -- 3B,1.361,0.956,0.415,Live-Ball Era
1939,1B 2B --,1.686,1.032,0.465,Live-Ball Era
1939,1B -- 3B,1.812,1.314,0.58,Live-Ball Era
1939,-- 2B 3B,2.035,1.534,0.658,Live-Ball Era
1939,1B 2B 3B,2.505,1.631,0.818,Live-Ball Era
1940,-- -- --,0.526,0.272,0.105,Live-Ball Era
1940,1B -- --,0.933,0.537,0.221,Live-Ball Era
1940,-- 2B --,1.196,0.708,0.349,Live-Ball Era
1940,-- -- 3B,1.371,0.968,0.375,Live-Ball Era
1940,1B 2B --,1.649,1.031,0.435,Live-Ball Era
1940,1B -- 3B,1.816,1.22,0.488,Live-Ball Era
1940,-- 2B 3B,2.168,1.468,0.621,Live-Ball Era
1940,1B 2B 3B,2.534,1.643,0.756,Live-Ball Era
1941,-- -- --,0.505,0.268,0.091,Live-Ball Era
1941,1B -- --,0.868,0.53,0.207,Live-Ball Era
1941,-- 2B --,1.201,0.709,0.355,Live-Ball Era
1941,-- -- 3B,1.296,0.977,0.383,Live-Ball Era
1941,1B 2B --,1.554,0.967,0.443,Live-Ball Era
1941,1B -- 3B,1.745,1.232,0.513,Live-Ball Era
1941,-- 2B 3B,2.107,1.49,0.646,Live-Ball Era
1941,1B 2B 3B,2.376,1.634,0.774,Live-Ball Era
1942,-- -- --,0.452,0.233,0.084,Integration Era
1942,1B -- --,0.802,0.471,0.193,Integration Era
1942,-- 2B --,1.088,0.642,0.318,Integration Era
1942,-- -- 3B,1.303,0.928,0.369,Integration Era
1942,1B 2B --,1.472,0.892,0.412,Integration Era
1942,1B -- 3B,1.683,1.146,0.469,Integration Era
1942,-- 2B 3B,1.881,1.29,0.608,Integration Era
1942,1B 2B 3B,2.508,1.557,0.734,Integration Era
1943,-- -- --,0.43,0.219,0.078,Integration Era
