Season,Bases,0 Outs,1 Out,2 Outs
1978,1B 2B 3B,2.289,1.462,0.755
1979,-- -- --,0.502,0.268,0.1
1979,1B -- --,0.869,0.521,0.229
1979,-- 2B --,1.136,0.696,0.323
1979,-- -- 3B,1.324,0.953,0.384
1979,1B 2B --,1.513,0.962,0.454
1979,1B -- 3B,1.76,1.187,0.513
1979,-- 2B 3B,2.038,1.42,0.618
1979,1B 2B 3B,2.418,1.697,0.799
1980,-- -- --,0.48,0.257,0.095
1980,1B -- --,0.848,0.508,0.218
1980,-- 2B --,1.116,0.677,0.34
1980,-- -- 3B,1.365,0.945,0.351
1980,1B 2B --,1.468,0.869,0.438
1980,1B -- 3B,1.701,1.172,0.52
1980,-- 2B 3B,1.955,1.325,0.568
1980,1B 2B 3B,2.397,1.59,0.77
1981,-- -- --,0.445,0.233,0.086
1981,1B -- --,0.804,0.484,0.208
1981,-- 2B --,1.029,0.644,0.323
1981,-- -- 3B,1.354,0.891,0.352
1981,1B 2B --,1.399,0.877,0.438
1981,1B -- 3B,1.687,1.116,0.446
1981,-- 2B 3B,1.937,1.331,0.556
1981,1B 2B 3B,2.34,1.53,0.722
1982,-- -- --,0.484,0.252,0.095
1982,1B -- --,0.883,0.514,0.218
1982,-- 2B --,1.09,0.657,0.319
1982,-- -- 3B,1.3,0.944,0.389
1982,1B 2B --,1.451,0.913,0.426
1982,1B -- 3B,1.758,1.204,0.496
1982,-- 2B 3B,1.962,1.411,0.593
1982,1B 2B 3B,2.209,1.526,0.769
1983,-- -- --,0.483,0.248,0.098
1983,1B -- --,0.873,0.501,0.215
1983,-- 2B --,1.12,0.661,0.326
1983,-- -- 3B,1.302,0.946,0.365
1983,1B 2B --,1.471,0.894,0.411
1983,1B -- 3B,1.791,1.198,0.495
1983,-- 2B 3B,2.015,1.386,0.56
1983,1B 2B 3B,2.315,1.542,0.772
1984,-- -- --,0.478,0.258,0.098
1984,1B -- --,0.859,0.508,0.222
1984,-- 2B --,1.09,0.686,0.325
1984,-- -- 3B,1.411,0.939,0.381
1984,1B 2B --,1.472,0.898,0.432
1984,1B -- 3B,1.657,1.159,0.502
1984,-- 2B 3B,1.932,1.393,0.624
1984,1B 2B 3B,2.336,1.645,0.739
1985,-- -- --,0.485,0.259,0.099
1985,1B -- --,0.853,0.499,0.216
1985,-- 2B --,1.168,0.678,0.332
1985,-- -- 3B,1.429,0.995,0.389
1985,1B 2B --,1.436,0.916,0.433
1985,1B -- 3B,1.736,1.202,0.503
1985,-- 2B 3B,2.128,1.419,0.682
1985,1B 2B 3B,2.361,1.584,0.762
1986,-- -- --,0.497,0.263,0.099
1986,1B -- --,0.863,0.525,0.231
1986,-- 2B --,1.118,0.691,0.322
1986,-- -- 3B,1.352,0.914,0.364
1986,1B 2B --,1.473,0.872,0.445
1986,1B -- 3B,1.729,1.127,0.532
1986,-- 2B 3B,1.982,1.391,0.64
1986,1B 2B 3B,2.521,1.492,0.79
1987,-- -- --,0.532,0.288,0.108
1987,1B -- --,0.918,0.561,0.248
1987,-- 2B --,1.183,0.717,0.336
1987,-- -- 3B,1.315,0.984,0.394
1987,1B 2B --,1.526,0.967,0.469
1987,1B -- 3B,1.714,1.226,0.515
1987,-- 2B 3B,1.945,1.441,0.599
1987,1B 2B 3B,2.222,1.583,0.809
1988,-- -- --,0.464,0.243,0.094
1988,1B -- --,0.859,0.503,0.212
1988,-- 2B --,1.107,0.661,0.32
1988,-- -- 3B,1.261,0.928,0.355
1988,1B 2B --,1.517,0.897,0.415
1988,1B -- 3B,1.746,1.17,0.444
1988,-- 2B 3B,1.973,1.397,0.588
1988,1B 2B 3B,2.509,1.558,0.746
1989,-- -- --,0.465,0.242,0.088
1989,1B -- --,0.859,0.505,0.202
1989,-- 2B --,1.074,0.679,0.312
1989,-- -- 3B,1.307,0.947,0.355
1989,1B 2B --,1.467,0.929,0.394
1989,1B -- 3B,1.747,1.141,0.463
1989,-- 2B 3B,1.871,1.348,0.534
1989,1B 2B 3B,2.239,1.609,0.722
1990,-- -- --,0.479,0.253,0.091
1990,1B -- --,0.871,0.51,0.222
1990,-- 2B --,1.112,0.681,0.318
1990,-- -- 3B,1.359,0.947,0.396
1990,1B 2B --,1.442,0.91,0.434
1990,1B -- 3B,1.782,1.183,0.509
1990,-- 2B 3B,1.92,1.374,0.578
1990,1B 2B 3B,2.333,1.605,0.693
1991,-- -- --,0.48,0.253,0.094
1991,1B -- --,0.867,0.517,0.225
1991,-- 2B --,1.119,0.683,0.344
1991,-- -- 3B,1.403,0.949,0.381
1991,1B 2B --,1.483,0.915,0.467
1991,1B -- 3B,1.757,1.18,0.492
1991,-- 2B 3B,1.909,1.393,0.569
1991,1B 2B 3B,2.288,1.483,0.777
1992,-- -- --,0.464,0.242,0.089
1992,1B -- --,0.835,0.493,0.204
1992,-- 2B --,1.08,0.644,0.296
1992,-- -- 3B,1.365,0.929,0.344
1992,1B 2B --,1.466,0.887,0.407
1992,1B -- 3B,1.767,1.099,0.444
1992,-- 2B 3B,1.985,1.357,0.555
1992,1B 2B 3B,2.39,1.51,0.703
1993,-- -- --,0.519,0.278,0.104
1993,1B -- --,0.905,0.533,0.227
1993,-- 2B --,1.147,0.719,0.331
1993,-- -- 3B,1.424,0.991,0.383
1993,1B 2B --,1.534,0.927,0.479
1993,1B -- 3B,1.789,1.18,0.529
1993,-- 2B 3B,2.02,1.434,0.605
1993,1B 2B 3B,2.419,1.625,0.798
1994,-- -- --,0.553,0.3,0.116
1994,1B -- --,0.949,0.567,0.256
1994,-- 2B --,1.172,0.736,0.369
1994,-- -- 3B,1.435,0.991,0.423
1994,1B 2B --,1.61,0.942,0.473
1994,1B -- 3B,1.789,1.19,0.568
1994,-- 2B 3B,2.063,1.484,0.692
1994,1B 2B 3B,2.37,1.594,0.802
1995,-- -- --,0.547,0.284,0.107
1995,1B -- --,0.953,0.554,0.243
1995,-- 2B --,1.196,0.739,0.345
1995,-- -- 3B,1.434,0.977,0.387
1995,1B 2B --,1.594,0.976,0.499
1995,1B -- 3B,1.935,1.207,0.525
1995,-- 2B 3B,2.093,1.422,0.634
1995,1B 2B 3B,2.302,1.668,0.856
1996,-- -- --,0.568,0.302,0.116
1996,1B -- --,0.988,0.591,0.26
1996,-- 2B --,1.223,0.753,0.353
1996,-- -- 3B,1.501,1.007,0.382
1996,1B 2B --,1.627,1.033,0.5
1996,1B -- 3B,1.849,1.217,0.535
1996,-- 2B 3B,2.135,1.432,0.614
1996,1B 2B 3B,2.438,1.737,0.855
1997,-- -- --,0.54,0.292,0.111
1997,1B -- --,0.929,0.556,0.233
1997,-- 2B --,1.184,0.713,0.332
1997,-- -- 3B,1.44,1.028,0.397
1997,1B 2B --,1.563,0.979,0.446
1997,1B -- 3B,1.895,1.194,0.519
1997,-- 2B 3B,1.977,1.35,0.571
1997,1B 2B 3B,2.413,1.633,0.777
1998,-- -- --,0.539,0.289,0.11
1998,1B -- --,0.934,0.576,0.241
1998,-- 2B --,1.197,0.693,0.338
1998,-- -- 3B,1.38,0.972,0.377
1998,1B 2B --,1.515,0.983,0.457
1998,1B -- 3B,1.827,1.211,0.55
1998,-- 2B 3B,2.056,1.429,0.599
1998,1B 2B 3B,2.327,1.606,0.806
1999,-- -- --,0.575,0.307,0.121
1999,1B -- --,0.974,0.581,0.256
1999,-- 2B --,1.218,0.735,0.364
1999,-- -- 3B,1.464,1.004,0.392
1999,1B 2B --,1.57,0.965,0.471
1999,1B -- 3B,1.965,1.243,0.552
1999,-- 2B 3B,2.126,1.537,0.644
1999,1B 2B 3B,2.381,1.688,0.813
2000,-- -- --,0.583,0.315,0.126
2000,1B -- --,0.99,0.608,0.269
2000,-- 2B --,1.189,0.74,0.331
2000,-- -- 3B,1.531,0.995,0.413
2000,1B 2B --,1.633,1.03,0.49
2000,1B -- 3B,1.906,1.235,0.518
2000,-- 2B 3B,2.044,1.517,0.647
2000,1B 2B 3B,2.542,1.74,0.838
2001,-- -- --,0.54,0.29,0.117
2001,1B -- --,0.937,0.554,0.247
2001,-- 2B --,1.185,0.721,0.353
2001,-- -- 3B,1.519,0.988,0.374
2001,1B 2B --,1.547,0.926,0.437
2001,1B -- 3B,1.869,1.271,0.527
2001,-- 2B 3B,2.063,1.435,0.603
2001,1B 2B 3B,2.393,1.629,0.811
2002,-- -- --,0.523,0.277,0.103
2002,1B -- --,0.911,0.544,0.231
2002,-- 2B --,1.166,0.7,0.326
